% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=205880, Sun May 14 20:40:06 2023, <python>{}</python>
1 30 3.845034318247135 1.0000483345014077 -3131.4070978164673 -3.1314070978164673e+03 -2952.538192987442 -2784.396333873272   
2 60 3.903945395195914 1.1157964194518246 -3170.0332621335983 -3.1700332621335983e+03 -3032.0543332099915 -2862.2602684497833   
3 90 4.042038803485183 1.149236017240811 -3183.1021243929863 -3.1831021243929863e+03 -3054.179795861244 -2920.2410678863525   
4 120 4.225619457774366 1.1910897800495635 -3183.1021243929863 -3.1796935735940933e+03 -3087.079043805599 -2885.639439225197   
5 150 4.44754646016697 1.2403104404089573 -3183.1021243929863 -3.1774865756630898e+03 -3107.125149190426 -2926.4036747813225   
6 180 4.6083449963204135 1.275856378960643 -3232.758472263813 -3.2327584722638130e+03 -3103.14696341753 -2712.5696763396263   
7 210 4.73441910075771 1.2944697136396903 -3232.758472263813 -3.2252354802489281e+03 -3122.309682428837 -3004.079280614853   
8 240 4.942208146215876 1.3114732966907052 -3232.758472263813 -3.1861382479071617e+03 -3121.2209842801094 -2973.5656202435493   
9 270 5.000865415839947 1.3540979655124334 -3263.4208324551582 -3.2634208324551582e+03 -3152.1802502274513 -2883.7779111266136   
10 300 5.006036679825572 1.3843491418023717 -3263.4208324551582 -3.2278622934818268e+03 -3133.1517164707184 -2918.3906423449516   
11 330 4.864672537947968 1.4074122887897083 -3263.4208324551582 -3.2241963140964508e+03 -3137.7228437662125 -2963.0363512039185   
12 360 4.762983277308953 1.4247778740862345 -3263.4208324551582 -3.2044004887342453e+03 -3162.4713139533997 -3003.04782640934   
13 390 4.563381482391443 1.44481962525175 -3263.4208324551582 -3.2278270657062531e+03 -3170.082066833973 -3078.0117703080177   
14 420 4.594096544965264 1.4842746560217739 -3263.4208324551582 -3.2550574156045914e+03 -3165.7522267103195 -3065.654039502144   
15 450 4.676695819975162 1.5090211623992065 -3263.4208324551582 -3.2385178171992302e+03 -3163.299071609974 -3052.7217743992805   
16 480 4.872525599861336 1.5564490281361254 -3263.4208324551582 -3.2401695365309715e+03 -3179.1299874186516 -3074.3781846165657   
17 510 4.989130315271706 1.6093362092328178 -3273.156642794609 -3.2731566427946091e+03 -3182.8690032958984 -3088.0162677168846   
18 540 4.970321322622442 1.6248427820969928 -3273.156642794609 -3.2316264808177948e+03 -3170.235059440136 -3026.2720108628273   
19 570 4.903606681230922 1.656667081751883 -3273.156642794609 -3.2220108379125595e+03 -3153.370161116123 -3073.1627649068832   
20 600 4.808369473358834 1.6831848331441768 -3273.156642794609 -3.2594353294968605e+03 -3176.757782280445 -3026.4467672109604   
21 630 4.701610913683433 1.693511687703942 -3275.0581617951393 -3.2750581617951393e+03 -3167.866105914116 -3104.042468547821   
22 660 4.522990624757101 1.7166898348445923 -3275.0581617951393 -3.2536255791187286e+03 -3181.93730455637 -3040.1314789652824   
23 690 4.367461935009705 1.7186132101679066 -3275.0581617951393 -3.2391575563549995e+03 -3171.141976952553 -3085.9729322195053   
24 720 4.297924568721466 1.7121452791640535 -3275.0581617951393 -3.2650286889076233e+03 -3193.1445957422256 -3123.9552940130234   
25 750 4.273995042562853 1.7191202130611554 -3275.0581617951393 -3.2688582028150558e+03 -3182.1559448242188 -3094.092393577099   
26 780 4.244452603820265 1.7297415793973585 -3275.0581617951393 -3.2461328509449959e+03 -3164.490447461605 -3081.5853404402733   
27 810 4.3822453385182785 1.7551877188256835 -3275.0581617951393 -3.2667549406886101e+03 -3197.58594250679 -3034.985299885273   
28 840 4.403674780829986 1.7682399094175987 -3276.3228254318237 -3.2763228254318237e+03 -3173.1760553717613 -3061.2878994345665   
